Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Đường Lô Tư, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",52.00,4.00,6.00,Đông - Nam,Đông - Nam,5,5,4,Have certificate,Basic,5.95
"Kiệt 142/15/3 Điện Biên Phủ, Phường Chính Gián, Thanh Khê, Đà Nẵng",42.00,4.00,2.50,Tây - Bắc,Tây - Bắc,2,2,2,Have certificate,Full,2.37
"Đường 1, Phường Yết Kiêu, Hạ Long, Quảng Ninh",67.50,4.50,10.00,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Full,4.95
"Đường Hoàng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",40.00,3.50,4.00,Đông - Nam,Đông - Nam,5,3,4,Have certificate,Full,5.70
"Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",68.00,5.50,3.00,Tây,Tây,2,2,3,Have certificate,Full,5.00
"Đường Số 10, Phường 8, Gò Vấp, Hồ Chí Minh",75.00,5.00,4.00,Tây - Bắc,Tây - Bắc,2,3,3,Have certificate,Full,5.60
"Dự án The Empire - Vinhomes Ocean Park 2, Đường 379, Xã Long Hưng, Văn Giang, Hưng Yên",65.00,5.00,25.00,Tây - Bắc,Đông - Nam,4,4,4,Have certificate,Basic,8.60
"Đường Ngô Trí Hòa, Phường Nại Hiên Đông , Sơn Trà, Đà Nẵng",72.00,4.00,5.50,Tây - Nam,Tây - Nam,2,3,2,Have certificate,Basic,5.80
"Đường Nam Kỳ Khởi Nghĩa, Phường 3, Vũng Tàu, Bà Rịa Vũng Tàu",95.00,5.00,6.00,Tây - Nam,Tây - Nam,2,3,2,Have certificate,Basic,8.00
"Dự án The Meadow Bình Chánh, Đường Trần Văn Giàu, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",90.00,5.00,20.00,Tây - Bắc,Đông - Nam,3,4,4,Sale contract,Basic,7.00
"Ngõ 93, Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",39.50,4.30,2.00,Đông - Nam,Đông - Nam,3,3,2,Have certificate,Basic,6.00
"Đường Bùi Quang Là, Phường 12, Gò Vấp, Hồ Chí Minh",52.00,4.50,4.50,Bắc,Bắc,4,4,5,Have certificate,Full,7.26
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",35.00,4.00,2.80,Đông - Nam,Đông - Nam,5,3,4,Have certificate,Full,3.78
"Đường Ngũ Hành Sơn, Phường Mỹ An, Ngũ Hành Sơn, Đà Nẵng",70.00,6.50,40.00,Đông,Đông,3,4,4,Have certificate,Full,7.19
"Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",35.00,7.00,2.50,Tây,Tây,2,2,2,Have certificate,Full,1.95
"Đường 1, Phường Tân Đông Hiệp, Dĩ An, Bình Dương",100.00,5.00,8.00,Tây - Bắc,Tây - Bắc,2,3,2,Have certificate,Full,4.80
"Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",51.00,4.00,4.00,Tây - Nam,Tây - Nam,4,4,4,Have certificate,Basic,4.70
"Đường Đỗ Thúc Tịnh, Phường 12, Gò Vấp, Hồ Chí Minh",54.00,4.00,3.00,Tây - Nam,Tây - Nam,4,3,4,Have certificate,Full,6.35
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",35.00,7.00,2.50,Tây,Tây,3,3,2,Have certificate,Basic,3.40
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",35.00,7.50,2.80,Tây,Tây,3,3,2,Have certificate,Basic,3.40
"Phố Trần Cung, Phường Dịch Vọng, Cầu Giấy, Hà Nội",41.00,4.00,3.00,Đông - Bắc,Nam,7,9,9,Have certificate,Full,9.50
"Khu phố 2, Đường Lê Văn Quới, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",40.10,4.00,8.00,Tây,Tây,1,2,1,Have certificate,Basic,3.60
"Dự án Vĩnh Phú II, Đường Vĩnh Phú 11, Phường Vĩnh Phú, Thuận An, Bình Dương",200.00,7.00,20.00,Bắc,Bắc,2,4,3,Have certificate,Basic,8.50
"Đường Hoàng Bật Đạt, Phường 15, Tân Bình, Hồ Chí Minh",40.00,8.00,3.00,Đông - Nam,Đông - Nam,2,2,2,Have certificate,Full,3.60
"Đường Chợ Con, Phường Hàng Kênh, Lê Chân, Hải Phòng",45.00,4.00,2.00,Đông,Đông,3,3,3,Have certificate,Full,2.85
"Đường N1, Phường Bình An, Dĩ An, Bình Dương",60.00,5.00,8.00,Đông - Bắc,Đông - Bắc,4,4,3,Have certificate,Full,5.50
"Phố Vĩnh Ninh, Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",90.00,5.50,2.50,Đông - Nam,Đông - Nam,4,5,4,Have certificate,Basic,5.90
"Đường D5, Phường 25, Bình Thạnh, Hồ Chí Minh",40.00,4.00,2.00,Nam,Nam,2,2,2,Have certificate,Full,4.35
"Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh.",40.00,4.00,7.00,Tây,Tây,3,5,3,Have certificate,Full,2.68
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40.00,4.10,5.00,Tây - Nam,Tây - Nam,4,3,4,Have certificate,Full,7.70
"Đường Bùi Hữu Nghĩa, Phường Tân Vạn, Biên Hòa, Đồng Nai",85.20,10.60,2.50,Nam,Nam,1,2,1,Have certificate,Basic,1.90
"Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",52.00,4.20,4.00,Tây,Tây,2,3,2,Have certificate,Full,4.10
"Đường Đông Thạnh 4-2, Xã  Đông Thạnh, Hóc Môn, Hồ Chí Minh",58.30,5.00,8.00,Đông,Đông,1,1,1,Have certificate,Basic,3.39
"Phường Việt Hưng, Long Biên, Hà Nội",35.00,4.20,3.50,Đông - Nam,Đông - Nam,5,3,4,Have certificate,Basic,4.50
"Phố Lệ Mật, Phường Việt Hưng, Long Biên, Hà Nội",40.00,4.50,4.00,Đông - Bắc,Đông - Bắc,5,4,4,Have certificate,Basic,5.80
"Đường 5, Phường Tân Phú, Quận 7, Hồ Chí Minh",60.00,4.00,8.00,Nam,Nam,3,4,4,Have certificate,Basic,9.50
"Đường Thành Thái, Phường 14, Quận 10, Hồ Chí Minh",32.00,4.70,5.00,Tây - Nam,Tây - Nam,5,5,3,Have certificate,Basic,7.20
"Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",51.00,4.00,8.00,Nam,Nam,5,6,6,Have certificate,Full,5.90
"Đường Tân Phú, Xã Phú Cường, Sóc Sơn, Hà Nội",43.30,3.90,3.50,Đông - Bắc,Đông - Nam,3,3,2,Have certificate,Full,1.45
"488/, Đường Phạm Văn Chiêu, Phường 16, Gò Vấp, Hồ Chí Minh",24.90,3.00,3.00,Bắc,Bắc,2,2,3,Have certificate,Basic,2.75
"Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",40.00,4.00,8.00,Tây - Bắc,Tây - Bắc,2,2,2,Have certificate,Full,4.10
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",36.00,3.60,2.60,Tây,Tây,6,5,4,Have certificate,Basic,6.90
"Hẻm 546//, Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",34.00,4.00,4.00,Đông - Nam,Đông,2,4,3,Have certificate,Basic,2.80
"405/, Đường Thống Nhất, Phường 11, Gò Vấp, Hồ Chí Minh",48.00,5.00,5.00,Tây,Tây,4,5,4,Have certificate,Basic,5.50
"Dự án Him Lam Hùng Vương, Quận Hồng Bàng, Hải Phòng",49.20,4.10,35.00,Bắc,Bắc,4,4,3,Sale contract,Basic,3.15
"Đường Lê Đức Thọ, Phường 13, Gò Vấp, Hồ Chí Minh",42.00,4.80,4.00,Đông,Đông,3,3,4,Have certificate,Full,5.60
"Phường 8, Bến Tre, Bến Tre",117.90,5.50,4.00,Tây - Nam,Đông - Nam,1,3,2,Have certificate,Basic,1.05
"Đường Yên Lũng, Xã An Khánh, Hoài Đức, Hà Nội",32.00,8.00,4.00,Nam,Nam,5,3,3,Have certificate,Full,4.00
"Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh",51.60,4.00,3.00,Nam,Nam,2,2,2,Have certificate,Full,5.38
"Đường Dương Quảng Hàm, Phường 5, Gò Vấp, Hồ Chí Minh",24.00,3.50,3.00,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,3.78
"13/14/ Đường Lương Thế Vinh, Phường Tân Thới Hòa, Tân Phú, Hồ Chí Minh",56.00,4.00,4.00,Nam,Nam,2,2,2,Have certificate,Basic,4.80
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",30.60,3.00,3.00,Tây - Nam,Tây - Nam,2,2,2,Have certificate,Full,3.88
"Đường Thạnh Lộc 15, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",58.00,3.90,4.00,Tây - Nam,Tây - Nam,2,3,2,Have certificate,Full,3.98
"Đường Vĩnh Khê, Xã An Đồng, An Dương, Hải Phòng",70.60,5.00,3.00,Nam,Nam,3,3,3,Have certificate,Basic,2.15
"Dự án KĐT Rùa Vàng City, Đường Quốc lộ 1A, Thị trấn Vôi, Lạng Giang, Bắc Giang.",50.00,5.00,20.00,Đông,Đông,4,4,4,Have certificate,Full,1.90
"Ngõ 206, Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội",34.00,5.50,3.00,Bắc,Bắc,5,3,4,Have certificate,Full,4.60
"đường Liên Mạc, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội",30.00,3.00,2.00,Đông - Nam,Đông - Nam,4,3,3,Have certificate,Basic,2.75
"Đường 13, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh",91.00,6.00,2.00,Đông - Nam,Đông - Nam,3,5,4,Have certificate,Basic,4.80
"Đường Tân Thới Nhất 17, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",80.00,5.00,8.00,Đông - Nam,Đông - Nam,3,3,4,Have certificate,Full,8.80
"2/, Đường Tân Thới Hiệp 21, Phường Tân Thới Hiệp, Quận 12, Hồ Chí Minh",47.60,4.00,7.00,Tây - Nam,Tây - Nam,3,4,4,Have certificate,Full,4.49
"Đường Khúc Thừa Dụ 2, Phường Vĩnh Niệm, Lê Chân, Hải Phòng",45.00,5.00,4.00,Đông - Bắc,Đông - Bắc,4,4,3,Have certificate,Basic,3.15
"Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",50.00,4.10,10.00,Đông - Nam,Đông - Nam,3,4,5,Have certificate,Basic,4.45
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",35.00,3.70,2.00,Bắc,Bắc,5,4,4,Have certificate,Full,5.65
"Đường Trung Thành, Xã Định Trung, Vĩnh Yên, Vĩnh Phúc",118.00,5.60,5.00,Đông - Nam,Đông - Nam,1,2,1,Have certificate,Full,1.70
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",33.00,4.00,3.00,Tây - Nam,Tây - Nam,5,3,4,Have certificate,Full,4.60
"Đường Tân Chánh Hiệp 35, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",44.00,3.00,3.00,Nam,Nam,2,2,2,Have certificate,Full,2.70
"Đường Chiến Lược, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",71.00,4.20,6.00,Đông,Đông,2,2,1,Have certificate,Basic,4.80
"Đường Lê Đình Dương, Phường Tân Thạnh, Tam Kỳ, Quảng Nam",132.00,5.50,5.50,Đông - Nam,Đông - Nam,2,3,2,Have certificate,Full,2.99
"Đường Trương Công Định, Phường 14, Tân Bình, Hồ Chí Minh",44.00,4.00,6.00,Đông,Đông,4,3,4,Have certificate,Full,7.85
"Đường Chu Văn An, Phường Trần Lãm, Thái Bình, Thái Bình",67.00,42.00,7.00,Tây - Bắc,Tây - Bắc,3,3,3,Have certificate,Full,4.10
"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh",100.00,5.00,16.00,Bắc,Bắc,3,4,4,Have certificate,Basic,8.90
"Phường Lê Hồng Phong, Thái Bình, Thái Bình",60.00,4.00,4.00,Tây - Bắc,Tây - Bắc,3,3,3,Have certificate,Full,3.80
"Ngõ 136, Đường Tây Sơn, Phường Quang Trung, Đống Đa, Hà Nội",41.30,3.06,3.20,Tây - Nam,Tây - Nam,4,4,3,Have certificate,Basic,8.00
"Đường 2/4, Phường Vĩnh Phước, Nha Trang, Khánh Hòa",72.90,11.00,5.20,Bắc,Nam,2,2,1,Have certificate,Basic,3.50
"Đường Số 32, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",52.00,4.20,5.00,Đông,Đông,2,2,2,Have certificate,Full,4.90
"Đường Số 10, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",60.00,6.00,2.00,Nam,Nam,2,2,2,Have certificate,Basic,3.60
"Dự án Mỹ Phước 3, Đường DL4, Phường Thới Hòa, Bến Cát, Bình Dương",150.00,5.00,8.00,Đông,Bắc,2,9,9,Have certificate,Full,2.05
"Phường Giảng Võ, Ba Đình, Hà Nội",32.00,4.00,3.00,Tây - Bắc,Tây - Bắc,4,5,4,Have certificate,Full,3.75
"Số nhà 79, Đường Số 32, Phường Hòa Phú, Thủ Dầu Một, Bình Dương",201.00,6.70,12.00,Đông - Bắc,Đông - Bắc,2,3,3,Have certificate,Full,4.60
"Đường Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",50.00,4.00,8.00,Đông,Đông,2,3,2,Have certificate,Full,5.80
"Đường Bắc Sơn, Phường Vĩnh Hải, Nha Trang, Khánh Hòa",59.00,4.00,5.00,Đông,Đông,3,3,3,Have certificate,Full,6.50
"Đường Nguyễn Thị Tồn, Phường Hóa An, Biên Hòa, Đồng Nai",88.00,4.00,6.00,Tây - Bắc,Tây - Bắc,3,4,4,Have certificate,Full,3.60
"Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",43.00,10.00,6.00,Đông,Đông,2,2,2,Have certificate,Full,4.20
"Dự án Samsung Village, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",50.00,4.00,8.00,Đông - Bắc,Đông - Bắc,3,3,3,Have certificate,Full,3.85
"Đường 606, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",66.00,4.00,5.00,Đông - Bắc,Đông - Bắc,1,2,2,Have certificate,Full,3.95
"Đường Hương lộ 39, Xã Suối Tiên, Diên Khánh, Khánh Hòa",205.00,10.00,15.00,Đông,Đông,1,2,2,Have certificate,Basic,1.20
"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",40.00,5.00,3.00,Nam,Nam,5,3,4,Have certificate,Full,7.00
"Đường Vạn Bảo, Phường Đội Cấn, Ba Đình, Hà Nội",40.00,4.00,10.00,Tây,Tây,6,8,5,Have certificate,Full,10.00
"Đường Thiên Lôi, Phường Vĩnh Niệm, Lê Chân, Hải Phòng",55.00,4.50,3.80,Tây - Nam,Tây - Nam,4,4,3,Have certificate,Basic,3.45
"Xã Ngọc Hồi, Thanh Trì, Hà Nội",50.00,4.00,5.00,Tây - Nam,Tây - Nam,3,3,3,Have certificate,Full,4.00
"Đường Đông Khê, Phường Đông Khê, Ngô Quyền, Hải Phòng",51.00,4.00,3.50,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Basic,2.95
"Đường Bạch Thái Bưởi, Phường Đằng Giang, Ngô Quyền, Hải Phòng",50.00,5.00,6.00,Đông,Đông,4,4,4,Have certificate,Full,6.10
"Đường Số 7, Phường Phú Thứ, Cái Răng, Cần Thơ",125.00,5.00,17.50,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Basic,4.30
"Đường 2/4, Phường Vĩnh Hòa, Nha Trang, Khánh Hòa",58.00,5.00,2.50,Nam,Nam,1,2,2,Have certificate,Full,2.10
"Đường Mễ Cốc, Phường 15, Quận 8, Hồ Chí Minh",60.00,4.00,4.00,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Full,3.90
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",32.00,3.70,2.50,Đông - Nam,Đông - Nam,5,4,3,Have certificate,Basic,4.60
"Dự án Opal Boulevard, Đường Kha Vạn Cân, Phường An Bình, Dĩ An, Bình Dương",87.00,6.00,16.00,Đông,Tây,1,2,1,Have certificate,Full,3.70
"Đường Núi Trúc, Phường Kim Mã, Ba Đình, Hà Nội",30.00,3.10,7.00,Đông - Nam,Đông - Nam,5,3,3,Have certificate,Full,8.50
"Đường Nguyễn Đức Thiệu, Phường Dĩ An, Dĩ An, Bình Dương",176.20,9.00,5.00,Bắc,Bắc,2,5,4,Have certificate,Basic,4.80
"Đường Nguyễn Hữu Cảnh, Phường Đông Hòa, Dĩ An, Bình Dương",70.00,4.20,5.00,Tây,Tây,2,3,2,Have certificate,Full,3.60
"Đường Hạ Đoạn 2, Phường Đông Hải 2, Hải An, Hải Phòng",73.00,4.00,4.00,Đông - Nam,Đông - Nam,3,3,4,Have certificate,Full,3.38
"Đường Phạm Văn Thuận, KP 3 Phường Tam Hiệp, Biên Hòa, Đồng Nai",58.10,4.10,4.00,Tây - Bắc,Tây - Bắc,3,2,2,Have certificate,Full,3.90
"Đường Hiệp Thành 26, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",34.00,4.25,3.00,Đông - Bắc,Đông - Bắc,2,2,2,Have certificate,Full,3.35
"Đường Phủ Thượng Đoạn, Phường Vạn Mỹ, Ngô Quyền, Hải Phòng",52.00,4.10,6.00,Tây - Bắc,Tây - Bắc,4,4,3,Have certificate,Full,3.90
"Dự án Việt Phát South City, Đường Dương Đình Nghệ, Phường Vĩnh Niệm, Lê Chân, Hải Phòng",63.00,4.50,12.00,Tây - Bắc,Tây - Bắc,4,4,5,Have certificate,Basic,5.00
"Đường Hào Khê, Phường  Kênh Dương, Lê Chân, Hải Phòng",66.00,4.10,5.00,Tây - Bắc,Tây - Bắc,4,5,5,Have certificate,Full,5.60
"Đường An Đà, Phường Đằng Giang, Ngô Quyền, Hải Phòng",58.40,3.86,3.00,Tây - Nam,Tây - Nam,4,4,4,Have certificate,Basic,3.98
"Đường Liên Khu 5-6, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",40.00,7.00,7.00,Đông,Đông,2,3,3,Have certificate,Full,2.48
"Đường Đức Thắng, Phường Đức Thắng, Bắc Từ Liêm, Hà Nội",45.00,5.00,3.00,Tây - Nam,Tây - Nam,5,4,4,Have certificate,Basic,5.60
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",68.00,5.30,8.00,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Basic,7.60
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",30.00,3.00,1.00,Đông - Nam,Đông - Nam,4,4,3,Have certificate,Basic,3.20
"Đường Đặng Văn Ngữ, Phường Khuê Trung, Cẩm Lệ, Đà Nẵng",90.00,6.00,7.50,Đông,Đông,1,2,1,Have certificate,Full,5.25
"Đường Nguyễn Ái Quốc, Phường Hóa An, Biên Hòa, Đồng Nai",90.00,55.00,8.00,Đông - Bắc,Đông - Bắc,3,4,4,Have certificate,Full,4.40
"Đường Thanh Lương 18, Phường Hòa Xuân, Cẩm Lệ, Đà Nẵng",100.00,5.00,7.50,Đông - Nam,Đông - Nam,3,4,4,Have certificate,Full,5.80
"Kiệt 24, Đường Lương Văn Can, Phường An Cựu, Huế, Thừa Thiên Huế",135.00,6.00,3.10,Đông - Nam,Đông - Nam,2,4,2,Have certificate,Full,4.05
"Dự án Izumi City, Xã Long Hưng, Biên Hòa, Đồng Nai",117.00,6.00,16.00,Nam,Nam,3,4,3,Sale contract,Basic,6.10
"Hẻm 1041, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",35.70,3.85,3.00,Nam,Nam,2,2,2,Have certificate,Basic,3.45
"Đường Bát Khối, Phường Cự Khối, Long Biên, Hà Nội",42.00,4.00,3.00,Đông - Nam,Đông - Nam,4,5,4,Have certificate,Basic,4.50
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",68.00,4.00,4.00,Bắc,Bắc,2,4,2,Have certificate,Full,5.30
"Hẻm 36/, Đường Bùi Tư Toàn, Phường An Lạc, Bình Tân, Hồ Chí Minh",75.60,5.00,10.00,Nam,Nam,4,5,6,Have certificate,Full,7.50
"Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",38.00,4.00,6.00,Đông,Đông,3,3,3,Have certificate,Full,2.55
"Phố Bà Triệu, Phường 4, Vũng Tàu, Bà Rịa Vũng Tàu",84.00,5.04,7.00,Tây - Nam,Tây - Nam,1,2,2,Have certificate,Full,7.90
"Đường An Phú 17, Phường An Phú, Thuận An, Bình Dương",43.00,4.50,5.00,Tây - Bắc,Tây - Bắc,2,2,2,Have certificate,Basic,1.85
"Đường Phạm Thế Hiển, Phường Thắng Tam, Vũng Tàu, Bà Rịa Vũng Tàu",78.00,7.00,8.00,Đông - Bắc,Đông - Bắc,4,4,5,Have certificate,Full,9.50
"Xã Đông Xuân, Sóc Sơn, Hà Nội",230.00,18.86,3.20,Đông - Bắc,Đông - Bắc,2,3,2,Have certificate,Full,2.86
"Đường Bàu Năng 3, Phường Hòa Minh, Liên Chiểu, Đà Nẵng",90.00,5.00,7.50,Tây - Nam,Tây - Nam,3,3,4,Have certificate,Full,5.60
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",3.10,35.00,2.00,Nam,Nam,6,4,5,Have certificate,Basic,5.88
"Dự án Centa Diamond, Phường Phù Chẩn, Từ Sơn, Bắc Ninh",75.00,5.00,12.00,Đông,Đông,4,6,6,Have certificate,Full,4.19
"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",61.00,4.20,2.50,Đông - Bắc,Đông - Bắc,4,3,2,Have certificate,Full,7.60
"Đường Kim Quan Thượng, Phường Việt Hưng, Long Biên, Hà Nội",30.00,4.40,7.00,Bắc,Bắc,6,6,6,Have certificate,Full,7.90
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",34.00,3.40,2.50,Đông,Đông,4,3,3,Have certificate,Full,5.33
"Đường Trần Nhân Tông, Phường Đề Thám, Thái Bình, Thái Bình",56.00,4.00,8.00,Tây - Bắc,Tây - Bắc,3,3,3,Have certificate,Full,8.50
"Đường Lai Xá, Xã Kim Chung, Hoài Đức, Hà Nội",30.00,3.68,4.00,Tây,Tây,5,3,4,Have certificate,Basic,4.35
"SN 37 ngõ 419, Đường Lĩnh Nam, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",32.00,3.50,2.50,Tây - Nam,Tây - Nam,5,3,4,Have certificate,Basic,5.25
"Đường Phan Đình Giót, Phường La Khê, Hà Đông, Hà Nội",48.00,4.00,3.00,Đông,Đông,4,3,3,Have certificate,Full,7.85
"Đường Cầu Diễn, Phường Minh Khai, Bắc Từ Liêm, Hà Nội",35.00,3.30,2.50,Đông - Bắc,Đông - Bắc,4,4,3,Have certificate,Full,4.79
"Đường Trần Văn Giáp, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",100.00,5.00,5.50,Tây - Nam,Tây - Nam,3,3,2,Have certificate,Full,6.00
"Phố Kim Mã Thượng, Phường Cống Vị, Ba Đình, Hà Nội",40.00,5.00,3.00,Đông - Nam,Đông - Nam,6,7,5,Have certificate,Full,7.80
"Đường Quốc lộ 1A, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",282.70,11.00,50.00,Bắc,Bắc,1,4,2,Have certificate,Basic,9.50
"Đường Nguyễn Văn Tiên, Phường Tân Phong, Biên Hòa, Đồng Nai",100.00,5.00,4.00,Đông,Đông,1,3,2,Have certificate,Basic,3.70
"Đường 70, Phường Xuân Phương, Nam Từ Liêm, Hà Nội.",42.00,3.30,2.50,Đông - Nam,Đông - Nam,4,4,4,Have certificate,Full,4.55
"Đường Phạm Văn Đồng, Phường Phú Mỹ, Phú Mỹ, Bà Rịa Vũng Tàu",320.00,10.00,32.00,Nam,Nam,1,4,4,Have certificate,Full,5.80
"Đường Nhị Hà, Phường Phước Hòa, Nha Trang, Khánh Hòa",77.00,4.00,16.00,Đông,Đông,4,4,4,Have certificate,Full,7.75
"Đường Bình Mỹ, Xã Bình Mỹ, Củ Chi, Hồ Chí Minh",157.00,6.00,20.00,Tây - Nam,Tây - Nam,2,2,1,Have certificate,Basic,4.20
"Dự án Lotus Residences (Vạn Liên), Phường Bãi Cháy, Hạ Long, Quảng Ninh",75.00,5.00,20.00,Đông - Bắc,Đông - Bắc,4,5,6,Have certificate,Full,9.30
"Dự án Lotus Residences (Vạn Liên), Phường Hùng Thắng, Hạ Long, Quảng Ninh.",96.00,55.00,20.00,Tây - Bắc,Tây - Bắc,4,5,6,Have certificate,Full,8.30
"Đường Lê Đại Hành, Phường Kỳ Bá, Thái Bình, Thái Bình",55.00,5.50,7.00,Đông - Nam,Đông - Nam,3,3,3,Have certificate,Basic,5.80
"Đường Nguyễn Bình, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh",80.30,7.30,7.00,Tây - Nam,Tây - Nam,4,4,5,Have certificate,Full,6.50
"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh.",62.50,5.00,6.00,Đông,Đông,3,4,3,Have certificate,Full,5.28
"Đường Nguyễn Văn Tiên, Phường Tân Phong, Biên Hòa, Đồng Nai",90.00,5.00,5.00,Nam,Bắc,2,3,2,Have certificate,Basic,4.30
"Đường 12, Phường Trường Thạnh, Thủ Đức, Hồ Chí Minh",53.80,4.50,8.00,Đông - Bắc,Đông - Bắc,4,3,3,Have certificate,Full,4.80
"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75.00,5.00,12.00,Đông - Bắc,Đông - Bắc,3,3,4,Have certificate,Full,8.30
"Đường Nguyễn Thị Tồn, Phường Hóa An, Biên Hòa, Đồng Nai",72.00,4.00,5.00,Đông - Bắc,Đông - Bắc,2,3,2,Have certificate,Basic,3.00
"Ngõ 156, Phố Hồng Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",37.00,3.00,2.00,Tây - Bắc,Tây - Bắc,4,3,3,Have certificate,Full,5.18
"Đường Số 31, Phường Bình Trưng Đông, Thủ Đức, Hồ Chí Minh",120.00,7.00,5.00,Đông - Nam,Đông - Nam,2,3,2,Have certificate,Basic,7.50
"Dự án Centa Riverside, Đường Hữu Nghị, Phường Phù Chẩn, Từ Sơn, Bắc Ninh",100.00,5.00,15.30,Bắc,Bắc,3,4,5,Have certificate,Basic,5.70
"Đường Hoàng Mai, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",40.00,4.00,5.00,Nam,Nam,4,4,4,Have certificate,Full,6.00
"Đường 11, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",85.70,5.40,7.00,Tây,Tây,1,3,3,Have certificate,Full,8.50
"Thôn Lê xá, Đường Lê Xá, Xã Mai Lâm, Đông Anh, Hà Nội",40.00,3.97,2.20,Đông,Đông,1,1,1,Have certificate,Basic,3.00
"Đường Lê Đình Cẩn, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",35.00,4.00,4.00,Đông,Đông,1,2,2,Have certificate,Full,2.00
